id_cuaca,tanggal,lokasi_kode,latitude,longitude,zona_waktu,hujan_mm,prob_hujan,intensitas_hujan,suhu_min_c,suhu_max_c,kelembaban_rh_avg,angin_kecepatan_avg_ms,angin_gust_max_ms,angin_arah_derajat,tekanan_hpa_avg,visibilitas_km_avg,wet_bulb_c,petir_count
CWC_20250328_ROAD_01,2025-03-28 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,21.7,0.7,Sedang,27,33,68.3,4.5,9.8,56,1008.7,6,25.7,0
CWC_20250328_STOCKPILE,2025-03-28 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,4.8,0.58,Ringan,24.8,30.1,88.9,4.1,5.9,139,1007.1,7.6,21.9,0
CWC_20250328_PORT,2025-03-28 00:00:00,PORT,-1.93,116.95,Asia/Makassar,11,0.63,Ringan,26.7,31.7,73.8,4,5.5,100,1009.1,8.2,25.2,0
CWC_20250329_PIT_A,2025-03-29 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,72.8,0.55,Lebat,25.3,33,86.3,2,4.5,147,1010.7,8.2,23.6,0
CWC_20250329_PIT_B,2025-03-29 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,69.6,0.48,Lebat,23.4,30.4,78.3,3.2,8.9,129,1014.9,9.4,21,0
CWC_20250329_ROAD_01,2025-03-29 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,73,0.78,Lebat,23.1,28.2,67.8,1.4,6.9,315,1010.6,10,20.8,0
CWC_20250329_STOCKPILE,2025-03-29 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,29.1,0.5,Sedang,25.7,30.1,74.3,1.9,4.1,69,1014.9,5.9,23.3,0
CWC_20250329_PORT,2025-03-29 00:00:00,PORT,-1.93,116.95,Asia/Makassar,20.9,0.8,Sedang,25.2,32.2,77.9,2.9,7.2,217,1006.6,9.4,22.5,0
CWC_20250330_PIT_A,2025-03-30 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,20.5,0.53,Sedang,25.7,32.1,66.4,2.7,3.8,252,1009.4,9.6,23.9,0
CWC_20250330_PIT_B,2025-03-30 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,18.8,0.36,Ringan,24.9,29.3,75.7,4,6.1,66,1013.4,7.3,22.9,0
CWC_20250330_ROAD_01,2025-03-30 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,54.8,0.67,Lebat,26.6,31.3,89.9,3.6,6.8,334,1011,6.3,23.7,0
CWC_20250330_STOCKPILE,2025-03-30 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,3.6,0.18,Ringan,24.1,30.3,92.7,1.4,5.3,28,1009.5,8.8,22.3,0
CWC_20250330_PORT,2025-03-30 00:00:00,PORT,-1.93,116.95,Asia/Makassar,52,0.05,Lebat,23.9,30.8,93.8,1.4,5.3,192,1009.9,6.4,22.4,0
CWC_20250331_PIT_A,2025-03-31 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,40.8,0.71,Sedang,26.3,34,76.3,3.9,7.1,63,1012.7,6.7,25.3,0
CWC_20250331_PIT_B,2025-03-31 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,50.7,0.57,Lebat,26.8,34.5,74,2,6.6,336,1011.5,7.2,24.2,0
CWC_20250331_ROAD_01,2025-03-31 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,41.4,0.4,Sedang,25.8,32.2,91.5,4,7.4,178,1006.6,5.8,24.5,0
CWC_20250331_STOCKPILE,2025-03-31 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,7.2,0.77,Ringan,26,31.4,92.9,4.1,7.6,144,1008.9,8.5,24.4,0
CWC_20250331_PORT,2025-03-31 00:00:00,PORT,-1.93,116.95,Asia/Makassar,45.1,0.43,Sedang,25.6,32.3,84.5,1,6.1,317,1008.7,8.9,23.9,0
CWC_20250401_PIT_A,2025-04-01 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,36.9,0.01,Sedang,24.7,31.5,87.9,1.3,3.1,228,1007.9,8,22.2,0
CWC_20250401_PIT_B,2025-04-01 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,65.4,0.45,Lebat,23.8,31.5,81.8,2.8,6.5,352,1008.1,7.2,22.7,0
CWC_20250401_ROAD_01,2025-04-01 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,8.8,0.98,Ringan,23.3,30.2,74.7,2.2,3.6,28,1009.7,6,21.1,0
CWC_20250401_STOCKPILE,2025-04-01 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,4.9,0.55,Ringan,24.9,32.9,88.1,2.7,5.4,110,1008.6,5.3,23.3,0
CWC_20250401_PORT,2025-04-01 00:00:00,PORT,-1.93,116.95,Asia/Makassar,72.4,0.87,Lebat,25.3,30.6,87.1,2.9,6.6,60,1010.5,6.9,24.1,0
CWC_20250402_PIT_A,2025-04-02 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,37,0.17,Sedang,23.7,29.9,73.4,3.1,5.4,315,1009.9,6.7,21.5,0
CWC_20250402_PIT_B,2025-04-02 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,36.9,0.98,Sedang,24.7,31.8,74.1,1.7,3.5,242,1011.4,5.7,22.5,0
CWC_20250402_ROAD_01,2025-04-02 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,11.2,0.33,Ringan,24,28,68.2,2.7,4.6,169,1014.4,7.9,23,0
CWC_20250402_STOCKPILE,2025-04-02 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,37.2,0.91,Sedang,23.7,31.4,68,1.3,3,156,1009.2,8.3,22.7,0
CWC_20250402_PORT,2025-04-02 00:00:00,PORT,-1.93,116.95,Asia/Makassar,43.1,0.32,Sedang,24.4,31.3,74.5,0.6,4.6,84,1014.5,7.3,21.4,0
CWC_20250403_PIT_A,2025-04-03 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,57.9,0.45,Lebat,23.4,28,79.1,0.9,4.6,106,1006.2,7.7,20.4,0
CWC_20250403_PIT_B,2025-04-03 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,29,0.45,Sedang,26.4,31.1,88.5,1.6,7,171,1013.2,5.7,23.4,0
CWC_20250403_ROAD_01,2025-04-03 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,41.9,0.28,Sedang,23.8,31.4,89.4,1.8,4.2,288,1014.9,8.5,21.1,0
CWC_20250403_STOCKPILE,2025-04-03 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,63.6,0.28,Lebat,24.1,30.6,90.5,2.5,8.2,111,1005.9,7.4,22.5,0
CWC_20250403_PORT,2025-04-03 00:00:00,PORT,-1.93,116.95,Asia/Makassar,68.4,0.72,Lebat,26,31.5,77.6,2.2,5.1,188,1011.7,7.8,25,0
CWC_20250404_PIT_A,2025-04-04 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,13.8,0.61,Ringan,24.2,32.1,78.9,1.8,3,319,1007,8.9,23.1,0
CWC_20250404_PIT_B,2025-04-04 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,68,0.14,Lebat,24.5,30.5,82.4,3.1,9,75,1009.1,9.5,21.6,0
CWC_20250404_ROAD_01,2025-04-04 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,3.6,0.35,Ringan,24,29,79.4,1.4,7.4,106,1012.1,6.6,21.2,0
CWC_20250404_STOCKPILE,2025-04-04 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,35.3,0.1,Sedang,25.1,30.1,93.1,1.4,3.9,197,1012.5,7,23.8,0
CWC_20250404_PORT,2025-04-04 00:00:00,PORT,-1.93,116.95,Asia/Makassar,46.9,0.22,Sedang,24.1,29.3,82,3.6,8.3,203,1012.4,6.9,22.7,0
CWC_20250405_PIT_A,2025-04-05 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,2.9,0.08,Ringan,23.4,29.5,90.8,2.7,8.7,49,1013.3,8.5,20.5,3
CWC_20250405_PIT_B,2025-04-05 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,54.6,0.06,Lebat,26.4,30.6,93.1,3.2,4.8,5,1012.2,7.8,25.2,0
CWC_20250405_ROAD_01,2025-04-05 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,79.1,0.59,Lebat,25.2,30.4,90.1,3.2,8.4,210,1014,8.8,22.4,0
CWC_20250405_STOCKPILE,2025-04-05 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,51.7,0.72,Lebat,23.6,30,90.6,0.6,4.5,218,1008.4,6.2,22.2,0
CWC_20250405_PORT,2025-04-05 00:00:00,PORT,-1.93,116.95,Asia/Makassar,51.9,0.19,Lebat,26.7,32,81.1,2,7.9,43,1007.3,6.5,25.1,0
CWC_20250406_PIT_A,2025-04-06 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,24,0.97,Sedang,26,31.7,66.2,2.1,3.9,5,1011.3,6.4,23.9,10
CWC_20250406_PIT_B,2025-04-06 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,35.4,0.63,Sedang,26.7,31.6,82.6,4.2,7.6,213,1014.6,8.9,23.8,0
CWC_20250406_ROAD_01,2025-04-06 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,39.6,0.52,Sedang,25.4,30.2,79.2,3.1,6.5,200,1011.5,6.7,24.3,0
CWC_20250406_STOCKPILE,2025-04-06 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,16.8,0.4,Ringan,24.1,28.9,83.8,0.7,3,358,1005.7,5.4,22.9,0
CWC_20250406_PORT,2025-04-06 00:00:00,PORT,-1.93,116.95,Asia/Makassar,63.5,0.21,Lebat,25.2,32,74.8,0.9,5.7,346,1012.2,5.2,22.6,0
CWC_20250407_PIT_A,2025-04-07 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,23.2,0.9,Sedang,24.5,30.7,72.3,2.1,6.1,260,1008.8,8.3,22.6,0
CWC_20250407_PIT_B,2025-04-07 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,77.3,0.27,Lebat,23.9,31.2,89.1,2,4.7,338,1014.5,8.5,21,0
CWC_20250407_ROAD_01,2025-04-07 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,62.5,0.78,Lebat,24.3,29.4,76.4,1.9,5.2,340,1006,7.8,22.1,0
CWC_20250407_STOCKPILE,2025-04-07 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,28.2,0.3,Sedang,25.6,29.9,81.5,3.7,9.5,157,1007.1,6.9,24.3,0
CWC_20250407_PORT,2025-04-07 00:00:00,PORT,-1.93,116.95,Asia/Makassar,58.8,0.5,Lebat,25.5,32.9,86.8,4.1,9,176,1012.9,6.9,24.4,3
CWC_20250408_PIT_A,2025-04-08 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,72.5,0.81,Lebat,26.6,33.2,84.4,1.5,6.9,330,1013.2,7.6,24.8,0
CWC_20250408_PIT_B,2025-04-08 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,64.4,0.03,Lebat,26.5,33.8,66.1,1.1,3,0,1012.9,8.8,24.8,0
CWC_20250408_ROAD_01,2025-04-08 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,75.4,0.32,Lebat,26.3,31.4,91,3.6,5.8,340,1006.4,8.2,25.2,0
CWC_20250408_STOCKPILE,2025-04-08 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,78.8,0.54,Lebat,26.6,31.1,73.6,3.9,6.2,283,1014,6.2,24,0
CWC_20250408_PORT,2025-04-08 00:00:00,PORT,-1.93,116.95,Asia/Makassar,25.2,0.57,Sedang,24.6,31.9,92.2,1.7,6.9,341,1011.3,5.3,22.7,0
CWC_20250409_PIT_A,2025-04-09 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,65.6,0.88,Lebat,25.9,30.1,83.1,3.2,7.8,195,1006.9,8.8,24.8,0
CWC_20250409_PIT_B,2025-04-09 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,70.5,0.75,Lebat,24,31.2,80.6,1.2,4,131,1006.6,8,21.3,0
CWC_20250409_ROAD_01,2025-04-09 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,22.8,0.95,Sedang,26.6,31.7,80.3,1.1,5.7,240,1008.9,7,24.5,0
CWC_20250409_STOCKPILE,2025-04-09 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,21.1,0.78,Sedang,25.9,29.9,78.8,3.6,7.3,360,1010.9,7.1,24.2,0
CWC_20250409_PORT,2025-04-09 00:00:00,PORT,-1.93,116.95,Asia/Makassar,39.3,0.6,Sedang,26.3,30.6,93.7,3.7,9,48,1013.2,5.9,24.2,0
CWC_20250410_PIT_A,2025-04-10 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,33.1,0.27,Sedang,24.1,28.4,80.3,0.6,4,135,1013.7,8.4,22.1,0
CWC_20250410_PIT_B,2025-04-10 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,11.7,0.1,Ringan,24.4,30.3,74.5,3.6,6.5,11,1006.2,9.3,22.4,7
CWC_20250410_ROAD_01,2025-04-10 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,3.8,0.41,Ringan,26.8,31.5,90.2,2.1,6.1,291,1010.2,5.2,24.4,8
CWC_20250410_STOCKPILE,2025-04-10 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,2,0.06,Ringan,26.9,32,86.9,4.3,7.1,87,1014.2,8.9,25,0
CWC_20250410_PORT,2025-04-10 00:00:00,PORT,-1.93,116.95,Asia/Makassar,79.1,0.98,Lebat,26.6,32.4,94.3,1,4.4,67,1014.2,7.5,25.4,0
CWC_20250411_PIT_A,2025-04-11 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,22,0.6,Sedang,24.9,32.2,86.4,0.7,6.7,344,1011.3,6.6,23.4,0
CWC_20250411_PIT_B,2025-04-11 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,6,0.67,Ringan,25.3,29.5,87.5,4.2,9.5,119,1008.6,6.4,23.5,0
CWC_20250411_ROAD_01,2025-04-11 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,23.1,0.24,Sedang,26.9,32.5,66.5,1.7,3.5,172,1008.3,6.5,25.8,0
CWC_20250411_STOCKPILE,2025-04-11 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,27.5,0.01,Sedang,25.3,32,87.7,2.7,3.9,159,1012.7,7.5,23.2,0
CWC_20250411_PORT,2025-04-11 00:00:00,PORT,-1.93,116.95,Asia/Makassar,77.9,0.41,Lebat,25.2,33.1,82.9,2.2,4.4,334,1005.5,5.8,23.3,0
CWC_20250412_PIT_A,2025-04-12 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,74.2,0.16,Lebat,26.8,33.5,94.9,4,5.2,300,1006.2,8.1,25.1,0
CWC_20250412_PIT_B,2025-04-12 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,75.9,0.79,Lebat,24.5,30.6,67.9,2.1,5.1,355,1009,5.6,22.2,0
CWC_20250412_ROAD_01,2025-04-12 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,71.7,0.15,Lebat,23.9,30.4,82.6,0.9,5.1,14,1006.7,7.7,21.5,0
CWC_20250412_STOCKPILE,2025-04-12 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,2.1,0.58,Ringan,23.6,29.5,89.1,3.8,8.5,267,1006.4,9.4,22.3,0
CWC_20250412_PORT,2025-04-12 00:00:00,PORT,-1.93,116.95,Asia/Makassar,5.6,0.78,Ringan,25.3,31.4,84.4,1.2,3.6,60,1011.8,6.6,23.4,0
CWC_20250413_PIT_A,2025-04-13 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,68.9,0.52,Lebat,23.3,27.4,74.5,4.1,6.4,187,1010.8,7.8,21.5,0
CWC_20250413_PIT_B,2025-04-13 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,11.5,0.83,Ringan,24.9,31,84.6,3.5,8.5,234,1012.8,7.2,23.2,0
CWC_20250413_ROAD_01,2025-04-13 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,27,0.09,Sedang,25.4,32.3,90.1,0.7,5.4,208,1008.5,9.2,23.7,0
CWC_20250413_STOCKPILE,2025-04-13 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,21.2,0.94,Sedang,27,31.2,83.4,4.1,8.5,111,1011.1,7.4,25,0
CWC_20250413_PORT,2025-04-13 00:00:00,PORT,-1.93,116.95,Asia/Makassar,74.8,0.77,Lebat,24.3,31.5,86.4,2.5,7.7,309,1009.1,8.4,22.7,6
CWC_20250414_PIT_A,2025-04-14 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,26.6,0.74,Sedang,23.8,30.9,81.5,2,3.4,105,1010.9,8.2,21.9,9
CWC_20250414_PIT_B,2025-04-14 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,11.1,0.05,Ringan,25,29.9,81.8,2.5,4.6,209,1014.2,6.6,22.3,0
CWC_20250414_ROAD_01,2025-04-14 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,30.5,0.82,Sedang,25.5,32.5,76.3,2.1,3.7,117,1009.7,8.7,23.6,0
CWC_20250414_STOCKPILE,2025-04-14 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,70.7,0.4,Lebat,25.3,32.5,76,2.5,6.4,29,1009.1,7.9,23.8,0
CWC_20250414_PORT,2025-04-14 00:00:00,PORT,-1.93,116.95,Asia/Makassar,15.6,0.49,Ringan,25.9,32,66.1,4.2,6.1,66,1007,8.9,22.9,0
CWC_20250415_PIT_A,2025-04-15 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,60.4,0.79,Lebat,24.1,31.8,90.9,1.4,3.4,350,1012,9.5,21.5,0
CWC_20250415_PIT_B,2025-04-15 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,29.2,0.07,Sedang,26.4,31,83.9,0.8,2.2,171,1009.6,6.7,23.9,4
CWC_20250415_ROAD_01,2025-04-15 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,35.7,0.93,Sedang,26.8,32.2,72.4,2.9,5.3,249,1012.6,5.2,24.7,0
CWC_20250415_STOCKPILE,2025-04-15 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,19.2,0.02,Ringan,26.8,34.1,79.3,3.8,5.8,214,1010.2,8,25.5,0
CWC_20250415_PORT,2025-04-15 00:00:00,PORT,-1.93,116.95,Asia/Makassar,60.2,0.86,Lebat,26.5,34.2,73.6,1,3,279,1014.9,6,23.8,0
CWC_20250416_PIT_A,2025-04-16 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,62.8,0.84,Lebat,26,33.1,88.5,3.5,5.7,24,1014.3,9,24.1,0
CWC_20250416_PIT_B,2025-04-16 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,72,0.34,Lebat,26.8,32,85,1.5,5.8,300,1011.8,5.2,25.5,0
CWC_20250416_ROAD_01,2025-04-16 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,15.7,0.68,Ringan,25,32.5,66.2,1.7,4,98,1007.1,9.2,23.9,0
CWC_20250416_STOCKPILE,2025-04-16 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,17.8,0.19,Ringan,25.1,29.1,69.2,1.1,2.6,296,1012.9,8.9,24.1,0
CWC_20250416_PORT,2025-04-16 00:00:00,PORT,-1.93,116.95,Asia/Makassar,10.8,0.8,Ringan,25.9,32.6,79.3,0.7,3,137,1013.1,9.9,24.4,0
CWC_20250417_PIT_A,2025-04-17 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,72.5,0.04,Lebat,23.7,29.7,92.2,1.1,3.1,335,1006.1,9.1,21.4,0
CWC_20250417_PIT_B,2025-04-17 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,12.1,0.97,Ringan,26.8,32.3,93.2,1.3,6.3,57,1014.1,8,25.5,0
CWC_20250417_ROAD_01,2025-04-17 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,39.7,0.09,Sedang,26.2,33.2,87.6,2.5,8.1,355,1013.1,8.6,24.6,0
CWC_20250417_STOCKPILE,2025-04-17 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,53.8,0.65,Lebat,26,31,89.4,2.1,5,211,1015,5.3,24.8,0
CWC_20250417_PORT,2025-04-17 00:00:00,PORT,-1.93,116.95,Asia/Makassar,1.6,0.34,Ringan,25.6,29.7,67.6,2.8,8,23,1014.2,8.5,24.4,0
CWC_20250418_PIT_A,2025-04-18 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,17.2,0.86,Ringan,23.1,27.8,85.4,2.1,7.9,290,1009.7,7.4,21.2,0
CWC_20250418_PIT_B,2025-04-18 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,10.7,0.14,Ringan,23.8,30.8,92.4,0.7,3.5,113,1008.6,5.4,21.4,0
CWC_20250418_ROAD_01,2025-04-18 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,24.8,0.62,Sedang,26.5,30.5,65.2,3.8,9.4,224,1014.5,7.2,23.8,0
CWC_20250418_STOCKPILE,2025-04-18 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,53.6,0.16,Lebat,24.4,29.4,70.7,3.7,8.7,287,1008.8,7.4,22,0
CWC_20250418_PORT,2025-04-18 00:00:00,PORT,-1.93,116.95,Asia/Makassar,28.8,0.1,Sedang,24.1,28.5,69,4.5,6.8,63,1014.4,7.6,21.3,0
CWC_20250419_PIT_A,2025-04-19 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,4.6,0.93,Ringan,23.4,30.4,70.7,2.2,7,107,1008,9.6,21.2,0
CWC_20250419_PIT_B,2025-04-19 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,58.4,0.83,Lebat,26.6,32.5,85,1.9,6.6,96,1013.1,8.1,24.5,0
CWC_20250419_ROAD_01,2025-04-19 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,14.9,0.38,Ringan,24.8,31.5,76.9,2.2,3.9,308,1011.4,9.3,23.5,8
CWC_20250419_STOCKPILE,2025-04-19 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,47.2,0.39,Sedang,23.8,31.1,92.6,1.3,6.7,236,1011.4,9.1,22.7,0
CWC_20250419_PORT,2025-04-19 00:00:00,PORT,-1.93,116.95,Asia/Makassar,76.3,0.22,Lebat,24,28,67.2,1.6,3.9,358,1011.8,5.1,22.4,0
CWC_20250420_PIT_A,2025-04-20 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,79.3,0.73,Lebat,23.1,27.3,86.5,4.4,7.6,183,1010.8,9.2,21.1,0
CWC_20250420_PIT_B,2025-04-20 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,73.3,0.07,Lebat,26.7,33.2,75.3,2.1,3.3,129,1009.9,8.1,24.1,0
CWC_20250420_ROAD_01,2025-04-20 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,19.1,0.74,Ringan,25,30.6,80.8,4.1,7.8,7,1005.2,8.6,22.1,8
CWC_20250420_STOCKPILE,2025-04-20 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,29.6,0.34,Sedang,23.9,30,84,1,2,57,1005.9,8.2,22.1,0
CWC_20250420_PORT,2025-04-20 00:00:00,PORT,-1.93,116.95,Asia/Makassar,20.4,0.86,Sedang,23.5,28.2,92.7,0.7,6.4,154,1014.9,9.5,20.6,0
CWC_20250421_PIT_A,2025-04-21 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,67,0.64,Lebat,25.6,29.8,85.8,2.2,4.9,17,1008.5,9.6,22.9,0
CWC_20250421_PIT_B,2025-04-21 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,62,0.45,Lebat,26.6,34.3,77.2,3.5,7.5,254,1009.8,9.2,25,0
CWC_20250421_ROAD_01,2025-04-21 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,30.8,0.21,Sedang,25.1,30.5,69.7,3.8,8.4,145,1011.1,5.5,23.6,0
CWC_20250421_STOCKPILE,2025-04-21 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,6.2,0.47,Ringan,26.5,33.9,93,0.6,3.1,299,1013.3,6.1,24.6,0
CWC_20250421_PORT,2025-04-21 00:00:00,PORT,-1.93,116.95,Asia/Makassar,11.9,0.45,Ringan,24.5,30.9,83,3.3,4.8,328,1007.3,7.2,23.4,0
CWC_20250422_PIT_A,2025-04-22 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,66.6,0.21,Lebat,23,29.1,79.2,3.3,4.6,345,1007.3,8.8,20.8,0
CWC_20250422_PIT_B,2025-04-22 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,59.8,0.05,Lebat,24,31.5,70.3,4.4,6.1,163,1010.1,5.7,21.3,0
CWC_20250422_ROAD_01,2025-04-22 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,62.8,0.63,Lebat,26.7,34,79.7,2.3,6.9,203,1009,5.5,23.8,0
CWC_20250422_STOCKPILE,2025-04-22 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,66.7,0.92,Lebat,24.2,30.1,72.6,3.4,6.4,83,1006.1,9.7,21.8,0
CWC_20250422_PORT,2025-04-22 00:00:00,PORT,-1.93,116.95,Asia/Makassar,46.5,0.79,Sedang,26.8,32.9,77.3,3.3,4.3,90,1014.9,5.7,24.5,0
CWC_20250423_PIT_A,2025-04-23 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,69,0.97,Lebat,23.5,28.6,83.9,3,8.1,192,1012.1,7.8,21.4,0
CWC_20250423_PIT_B,2025-04-23 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,31.6,0.66,Sedang,24.2,29.4,86.6,2.9,4.1,276,1011.5,6.6,21.4,0
CWC_20250423_ROAD_01,2025-04-23 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,41.3,0.48,Sedang,25.7,33.6,89.1,2.5,3.5,110,1005.9,7.6,23.3,6
CWC_20250423_STOCKPILE,2025-04-23 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,26.8,0.11,Sedang,25.7,33.3,66.8,1.2,3.2,182,1013.5,8.9,24.2,0
CWC_20250423_PORT,2025-04-23 00:00:00,PORT,-1.93,116.95,Asia/Makassar,16.3,0.08,Ringan,26.2,34.2,89.6,3.2,6,144,1012.6,6.5,24.2,0
CWC_20250424_PIT_A,2025-04-24 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,58.7,0.2,Lebat,26.1,31.6,88.4,1.3,4.5,302,1012.4,9.2,24,0
CWC_20250424_PIT_B,2025-04-24 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,30.5,0.98,Sedang,24,31,90.4,1.5,3.4,218,1008.1,7.2,22.6,0
CWC_20250424_ROAD_01,2025-04-24 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,66.9,0.98,Lebat,25.8,32.3,79.5,3.8,9.7,84,1013.5,9.9,24.6,0
CWC_20250424_STOCKPILE,2025-04-24 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,23.9,0.74,Sedang,26.8,34.4,80.2,0.8,4.4,266,1012.2,8.5,24.6,0
CWC_20250424_PORT,2025-04-24 00:00:00,PORT,-1.93,116.95,Asia/Makassar,72.6,0.87,Lebat,23.6,29.6,76.8,1.2,4.3,42,1014.6,7.2,21.2,0
CWC_20250425_PIT_A,2025-04-25 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,64.9,0.37,Lebat,24.4,31.3,76.4,2.2,4.9,52,1006.8,8.4,21.7,0
